"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C48","0603","1269.686mil","767.716mil","1269.686mil","767.716mil","1269.686mil","740.216mil","B","90.00","4u7"
"R38","0402","1974.145mil","1850.394mil","1974.145mil","1850.394mil","1955.247mil","1850.394mil","T","360.00","10k"
"C17","0402","2037.795mil","1985.433mil","2037.795mil","1985.433mil","2037.795mil","1966.535mil","T","90.00","100n"
"C50","0603","1484.252mil","706.634mil","1484.252mil","706.634mil","1484.252mil","679.134mil","B","90.00","4u7"
"D10","LED0603","98.425mil","590.551mil","98.425mil","590.551mil","125.925mil","590.551mil","T","180.00","KPT-1608SGC"
"C38","0603","511.811mil","2259.843mil","511.811mil","2259.843mil","484.311mil","2259.843mil","T","360.00","10u"
"J11","MOLEX_2223-2021","137.795mil","492.126mil","137.795mil","492.126mil","187.795mil","492.126mil","B","180.00","MX-22-23-2021"
"C57","0603","1968.505mil","2259.842mil","1968.505mil","2259.842mil","1941.005mil","2259.842mil","T","0.00","10u"
"C58","0603","1974.145mil","1787.401mil","1974.145mil","1787.401mil","1946.645mil","1787.401mil","T","0.00","10u"
"Q1","SOT-363","354.331mil","285.433mil","354.331mil","285.433mil","328.74mil","322.835mil","B","270.00","PMGD780SN"
"D4","LED0603","223.229mil","1653.543mil","223.229mil","1653.543mil","250.729mil","1653.543mil","B","180.00","KPT-1608SGC"
"R41","0402","354.331mil","1655.512mil","354.331mil","1655.512mil","354.331mil","1674.409mil","B","270.00","330R"
"J10","CON-Molex-047346-0001","2106.299mil","139.095mil","2106.299mil","141.732mil","2157.48mil","191.457mil","B","90.00","Molex 47346-0001"
"J12","CON-Molex-047346-0001","715.551mil","139.095mil","715.551mil","141.732mil","766.732mil","191.457mil","B","90.00","Molex 47346-0001"
"IC9","SOIC-8","2576.571mil","622.047mil","2683.071mil","547.047mil","2683.071mil","547.047mil","T","180.00","MCP79410"
"RST","TL3340AF160QG","3854.921mil","755.512mil","3857.874mil","755.512mil","3810.63mil","707.284mil","B","270.00","TL3340AF160QG"
"USR","TL3340AF160QG","3854.921mil","1369.291mil","3857.874mil","1369.291mil","3810.63mil","1321.063mil","B","270.00","TL3340AF160QG"
"R32","0402","125.591mil","1082.677mil","125.591mil","1082.677mil","125.591mil","1101.575mil","B","270.00","330R"
"IC5","QFN-32","1111.811mil","498.031mil","1111.811mil","498.031mil","1209.252mil","566.929mil","B","180.00","FT232RQ"
"R25","0402","396.063mil","142.52mil","396.063mil","142.52mil","377.165mil","142.52mil","B","360.00","0R"

